"exp_table$target_id","Coculture_01_N","Coculture_02_N","Coculture_03_N","Coculture_04_N","Ecoli_01_N","Ecoli_02_N","Ecoli_03_N","Ecoli_04_N"
"nfuA__HW372_RS01660_rc_364115",0,0,0,0,0,0,0,0
"gntX__HW372_RS01665_rc_364857",0,0,0,0,0,0,0,0
"bioH__HW372_RS01670_364895",0,0,0,0,0,0,0,0
"HW372_RS01675__HW372_RS01675_rc_366287",0,0,0,0,0,0,0,0
"feoC__HW372_RS01680_rc_366756",0,0,0,0,0,0,0,0
"feoB__HW372_RS01685_rc_369077",0,0,0,0,0,0,0,0
"feoA__HW372_RS01690_rc_369321",0,0,0,0,0,0,0,0
"yhgF__HW372_RS01695_rc_372098",0,0,0,0,0,0,0,0
"greB__HW372_RS01700_rc_372671",0,0,0,0,3571,0,0,0
"ompR__HW372_RS01705_372899",0,0,0,0,0,0,0,0
"envZ__HW372_RS01710_373615",0,0,0,0,0,0,0,0
"nadS__HW372_RS01715_rc_375294",0,0,0,0,0,0,0,0
"HW372_RS01720__HW372_RS01720_rc_375670",0,0,0,0,0,0,0,0
"pckA__HW372_RS01725_rc_377402",0,0,0,0,0,0,0,0
"yhgE__HW372_RS01730_377781",0,0,0,0,988.957,0,0,0
"hslO__HW372_RS01735_rc_380521",0,0,0,0,0,0,0,0
"hslR__HW372_RS01740_rc_380947",0,0,0,0,0,0,0,0
"yrfG__HW372_RS01745_rc_381626",0,0,0,0,0,0,0,0
"igaA__HW372_RS01750_rc_383826",0,0,0,0,0,0,0,0
"nudE__HW372_RS01755_384146",0,0,0,0,0,0,0,0
"mrcA__HW372_RS01760_rc_387424",0,0,0,0,0,0,0,0
"hofM__HW372_RS01765_387544",0,0,0,0,0,0,0,0
"hofN__HW372_RS01770_388323",0,0,0,0,0,0,0,0
"hofO__HW372_RS01775_388846",0,0,0,0,0,0,0,0
"hofP__HW372_RS01780_389276",0,0,0,0,0,0,0,0
"hofQ__HW372_RS01785_389592",0,0,0,0,0,0,0,0
"aroK__HW372_RS01790_391231",0,0,0,0,0,0,0,0
"aroB__HW372_RS01795_391809",0,0,0,0,0,0,0,0
